id,sensor_id,data,time_stamp
3348,'5',18.3,'2021-10-23T10:08:52.2232+02'
3349,'5',18.5,'2021-10-23T10:29:27.475794+02'
3350,'5',18.7,'2021-10-23T10:50:36.287313+02'
3351,'5',19.0,'2021-10-23T11:11:56.645873+02'
3352,'5',19.1,'2021-10-23T11:33:16.55866+02'
3353,'5',19.4,'2021-10-23T11:55:32.671179+02'
3354,'5',19.5,'2021-10-23T12:16:57.956865+02'
3355,'5',19.6,'2021-10-23T12:37:32.120523+02'
3356,'5',19.8,'2021-10-23T12:58:38.714965+02'
3357,'5',19.9,'2021-10-23T13:21:04.717378+02'
3358,'5',20.0,'2021-10-23T13:43:16.512542+02'
3359,'5',20.1,'2021-10-23T14:04:38.269066+02'
3360,'5',20.0,'2021-10-23T14:25:44.288096+02'
3361,'5',20.0,'2021-10-23T14:46:13.482235+02'
3362,'5',20.0,'2021-10-23T15:07:52.294424+02'
3363,'5',19.9,'2021-10-23T15:29:53.915116+02'
3364,'5',19.8,'2021-10-23T15:51:51.035036+02'
3365,'5',19.7,'2021-10-23T16:13:10.528598+02'
3366,'5',19.7,'2021-10-23T16:35:05.339019+02'
3367,'5',19.7,'2021-10-23T16:56:34.146201+02'
3368,'5',19.6,'2021-10-23T17:17:45.605311+02'
3369,'5',19.6,'2021-10-23T17:40:00.071943+02'
3370,'5',19.6,'2021-10-23T18:01:48.475022+02'
3371,'5',19.5,'2021-10-23T18:23:56.440882+02'
3372,'5',19.4,'2021-10-23T18:45:24.730719+02'
3373,'5',19.3,'2021-10-23T19:06:37.69407+02'
3374,'5',19.3,'2021-10-23T19:27:23.539582+02'
3375,'5',19.3,'2021-10-23T19:48:42.821504+02'
3376,'5',19.2,'2021-10-23T20:09:33.036235+02'
3377,'5',19.1,'2021-10-23T20:31:20.528507+02'
3378,'5',19.0,'2021-10-23T20:52:26.945012+02'
3379,'5',18.9,'2021-10-23T21:14:16.623778+02'
3380,'5',18.9,'2021-10-23T21:36:57.762182+02'
3381,'5',18.8,'2021-10-23T21:58:10.972447+02'
3382,'5',18.7,'2021-10-23T22:20:36.685712+02'
3383,'5',18.7,'2021-10-23T22:43:14.933218+02'
3384,'5',18.6,'2021-10-23T23:04:25.871193+02'
3385,'5',18.4,'2021-10-23T23:25:46.817394+02'
3386,'5',18.4,'2021-10-23T23:46:41.240033+02'
3387,'5',18.3,'2021-10-24T00:07:25.699596+02'
3388,'5',18.2,'2021-10-24T00:28:22.462677+02'
3389,'5',18.2,'2021-10-24T00:49:31.876525+02'
3390,'5',18.1,'2021-10-24T01:10:52.662873+02'
3391,'5',18.0,'2021-10-24T01:32:33.314123+02'
3392,'5',17.9,'2021-10-24T01:53:49.500496+02'
3393,'5',17.9,'2021-10-24T02:15:08.900642+02'
3394,'5',17.8,'2021-10-24T02:36:41.836593+02'
3395,'5',17.7,'2021-10-24T02:58:46.659637+02'
3396,'5',17.7,'2021-10-24T03:19:42.276578+02'
3397,'5',17.5,'2021-10-24T03:41:54.773275+02'
3398,'5',17.5,'2021-10-24T04:04:07.121664+02'
3399,'5',17.4,'2021-10-24T04:25:39.40902+02'
3400,'5',17.3,'2021-10-24T04:46:47.910537+02'
3401,'5',17.3,'2021-10-24T05:08:06.248069+02'
3402,'5',17.2,'2021-10-24T05:31:04.228484+02'
3403,'5',17.1,'2021-10-24T05:52:16.414636+02'
3404,'5',17.0,'2021-10-24T06:14:12.033022+02'
3405,'5',16.9,'2021-10-24T06:35:47.972104+02'
3406,'5',16.8,'2021-10-24T06:57:11.62168+02'
3407,'5',16.8,'2021-10-24T07:18:30.963123+02'
3408,'5',16.7,'2021-10-24T07:39:11.813353+02'
3409,'5',16.6,'2021-10-24T08:00:25.682902+02'
3410,'5',16.5,'2021-10-24T08:22:24.161907+02'
3411,'5',16.5,'2021-10-24T08:45:21.281727+02'
3412,'5',16.4,'2021-10-24T09:07:22.196114+02'
3413,'5',16.4,'2021-10-24T09:29:03.405444+02'
3414,'5',16.5,'2021-10-24T09:51:13.230694+02'
3415,'5',16.7,'2021-10-24T10:12:45.591606+02'
3416,'5',16.8,'2021-10-24T10:34:39.853572+02'
3417,'5',17.2,'2021-10-24T10:55:32.406426+02'
3418,'5',17.3,'2021-10-24T11:17:10.237471+02'
3419,'5',17.4,'2021-10-24T11:39:37.564311+02'
3420,'5',17.6,'2021-10-24T12:02:48.533177+02'
3421,'5',17.9,'2021-10-24T12:24:25.060262+02'
3422,'5',18.0,'2021-10-24T12:47:20.174229+02'
3423,'5',18.1,'2021-10-24T13:09:10.940457+02'
3424,'5',18.2,'2021-10-24T13:30:38.504362+02'
3425,'5',18.3,'2021-10-24T13:51:30.641375+02'
3426,'5',18.3,'2021-10-24T14:13:05.964553+02'
3427,'5',18.3,'2021-10-24T14:34:56.703555+02'
3428,'5',18.3,'2021-10-24T14:55:55.412657+02'
3429,'5',18.3,'2021-10-24T15:17:27.201685+02'
3430,'5',18.3,'2021-10-24T15:38:45.485801+02'
3431,'5',18.2,'2021-10-24T15:59:57.132233+02'
3432,'5',18.1,'2021-10-24T16:21:49.860356+02'
3433,'5',18.1,'2021-10-24T16:43:50.418912+02'
3434,'5',18.0,'2021-10-24T17:05:30.895886+02'
3435,'5',18.0,'2021-10-24T17:26:31.852821+02'
3436,'5',17.9,'2021-10-24T17:48:19.618491+02'
3437,'5',17.9,'2021-10-24T18:11:02.458626+02'
3438,'5',17.9,'2021-10-24T18:33:02.817178+02'
3439,'5',17.8,'2021-10-24T18:56:00.378466+02'
3440,'5',17.7,'2021-10-24T19:18:16.84496+02'
3441,'5',17.7,'2021-10-24T19:40:18.548305+02'
3442,'5',17.6,'2021-10-24T20:02:47.1118+02'
3443,'5',17.6,'2021-10-24T20:23:23.58697+02'
3444,'5',17.4,'2021-10-24T20:44:54.336671+02'
3445,'5',17.4,'2021-10-24T21:05:27.922827+02'
3446,'5',17.3,'2021-10-24T21:26:36.32937+02'
3447,'5',17.3,'2021-10-24T21:47:44.452808+02'
3448,'5',17.2,'2021-10-24T22:09:53.709485+02'
3449,'5',17.1,'2021-10-24T22:31:50.619798+02'
3450,'5',17.0,'2021-10-24T22:52:56.53278+02'
3451,'5',17.0,'2021-10-24T23:14:01.510488+02'
3452,'5',16.9,'2021-10-24T23:36:50.051734+02'
3453,'5',16.8,'2021-10-24T23:58:30.49571+02'
3454,'5',16.8,'2021-10-25T00:20:38.008092+02'
3455,'5',16.7,'2021-10-25T00:43:04.015602+02'
3456,'5',16.6,'2021-10-25T01:05:31.167081+02'
3457,'5',16.6,'2021-10-25T01:27:33.198309+02'
3458,'5',16.5,'2021-10-25T01:48:32.055146+02'
3459,'5',16.4,'2021-10-25T02:11:06.476207+02'
3460,'5',16.4,'2021-10-25T02:33:11.969951+02'
3461,'5',16.8,'2021-10-25T02:55:02.047693+02'
3462,'5',17.0,'2021-10-25T03:16:22.264008+02'
3463,'5',17.2,'2021-10-25T03:37:58.047017+02'
3464,'5',17.5,'2021-10-25T03:58:40.595241+02'
3465,'5',17.7,'2021-10-25T04:19:46.788189+02'
3466,'5',17.8,'2021-10-25T04:41:13.545965+02'
3467,'5',18.1,'2021-10-25T05:03:11.620539+02'
3468,'5',18.3,'2021-10-25T05:25:27.227797+02'
3469,'5',18.4,'2021-10-25T05:47:20.885979+02'
3470,'5',18.4,'2021-10-25T06:08:37.207024+02'
3471,'5',18.6,'2021-10-25T06:30:25.375661+02'
3472,'5',18.7,'2021-10-25T06:53:28.646851+02'
3473,'5',18.7,'2021-10-25T07:16:17.219773+02'
3474,'5',18.8,'2021-10-25T07:37:50.027637+02'
3475,'5',18.9,'2021-10-25T07:59:16.336917+02'
3476,'5',18.9,'2021-10-25T08:20:23.827739+02'
3477,'5',18.9,'2021-10-25T08:42:36.543513+02'
3478,'5',18.9,'2021-10-25T09:05:08.489573+02'
3479,'5',19.0,'2021-10-25T09:27:36.621696+02'
3480,'5',19.0,'2021-10-25T09:48:56.709322+02'
3481,'5',19.1,'2021-10-25T10:11:09.621174+02'
3482,'5',19.2,'2021-10-25T10:32:42.474002+02'
3483,'5',19.2,'2021-10-25T10:53:30.15513+02'
3484,'5',19.2,'2021-10-25T11:14:41.798151+02'
3485,'5',19.3,'2021-10-25T11:36:46.598926+02'
3486,'5',19.4,'2021-10-25T11:58:44.324692+02'
3487,'5',19.4,'2021-10-25T12:19:43.587983+02'
3488,'5',19.4,'2021-10-25T12:41:20.094464+02'
3489,'5',19.3,'2021-10-25T13:02:57.690057+02'
3490,'5',19.2,'2021-10-25T13:24:08.771886+02'
3491,'5',19.3,'2021-10-25T13:45:47.950743+02'
3492,'5',19.2,'2021-10-25T14:07:11.43513+02'
3493,'5',19.3,'2021-10-25T14:28:32.744942+02'
3494,'5',19.3,'2021-10-25T14:49:57.675517+02'
3495,'5',19.3,'2021-10-25T15:10:52.286409+02'
3496,'5',19.3,'2021-10-25T15:32:01.16457+02'
3497,'5',19.3,'2021-10-25T15:53:16.388389+02'
3498,'5',19.3,'2021-10-25T16:14:42.674389+02'
3499,'5',19.3,'2021-10-25T16:35:17.750253+02'
3500,'5',19.3,'2021-10-25T16:58:13.314167+02'
3501,'5',19.3,'2021-10-25T17:20:05.252906+02'
3502,'5',19.4,'2021-10-25T17:41:27.985778+02'
3503,'5',19.3,'2021-10-25T18:03:24.440497+02'
3504,'5',19.4,'2021-10-25T18:26:32.219087+02'
3505,'5',19.3,'2021-10-25T18:49:07.468939+02'
3506,'5',19.3,'2021-10-25T19:10:52.382976+02'
3507,'5',19.3,'2021-10-25T19:31:59.240716+02'
3508,'5',19.2,'2021-10-25T19:52:44.067677+02'
3509,'5',19.2,'2021-10-25T20:14:28.800648+02'
3510,'5',19.2,'2021-10-25T20:35:46.670109+02'
3511,'5',19.1,'2021-10-25T20:56:46.919145+02'
3512,'5',19.0,'2021-10-25T21:18:25.882115+02'
3513,'5',19.0,'2021-10-25T21:40:33.321035+02'
3514,'5',18.9,'2021-10-25T22:02:00.280001+02'
3515,'5',18.8,'2021-10-25T22:24:29.988672+02'
3516,'5',18.8,'2021-10-25T22:45:52.077626+02'
3517,'5',18.7,'2021-10-25T23:07:07.904765+02'
3518,'5',18.7,'2021-10-25T23:29:03.949394+02'
3519,'5',18.6,'2021-10-25T23:51:03.320736+02'
3520,'5',18.6,'2021-10-26T00:14:34.976761+02'
3521,'5',18.5,'2021-10-26T00:37:00.526312+02'
3522,'5',18.4,'2021-10-26T00:59:03.769915+02'
3523,'5',18.4,'2021-10-26T01:20:12.408716+02'
3524,'5',18.3,'2021-10-26T01:42:26.215523+02'
3525,'5',18.3,'2021-10-26T02:05:10.049519+02'
3526,'5',18.2,'2021-10-26T02:27:54.024819+02'
3527,'5',18.2,'2021-10-26T02:49:59.494596+02'
3528,'5',18.2,'2021-10-26T03:10:46.794549+02'
3529,'5',18.3,'2021-10-26T03:32:21.597813+02'
3530,'5',18.5,'2021-10-26T03:53:45.371053+02'
3531,'5',18.5,'2021-10-26T04:14:46.170492+02'
3532,'5',18.6,'2021-10-26T04:35:48.683438+02'
3533,'5',18.6,'2021-10-26T04:56:56.959894+02'
3534,'5',18.7,'2021-10-26T05:19:31.88164+02'
3535,'5',18.7,'2021-10-26T05:40:48.29596+02'
3536,'5',18.7,'2021-10-26T06:02:25.655714+02'
3537,'5',18.8,'2021-10-26T06:25:06.783038+02'
3538,'5',18.8,'2021-10-26T06:46:58.180788+02'
3539,'5',18.8,'2021-10-26T07:08:20.716276+02'
3540,'5',18.8,'2021-10-26T07:29:52.171188+02'
3541,'5',18.8,'2021-10-26T07:51:36.751788+02'
3542,'5',18.9,'2021-10-26T08:12:44.175526+02'
3543,'5',18.9,'2021-10-26T08:35:16.059006+02'
3544,'5',19.0,'2021-10-26T08:56:24.169068+02'
3545,'5',19.1,'2021-10-26T09:17:37.097787+02'
3546,'5',19.1,'2021-10-26T09:38:25.80714+02'
3547,'5',19.4,'2021-10-26T10:00:16.924535+02'
3548,'5',19.7,'2021-10-26T10:22:09.870191+02'
3549,'5',20.0,'2021-10-26T10:43:42.236141+02'
3550,'5',20.1,'2021-10-26T11:05:19.286189+02'
3551,'5',20.4,'2021-10-26T11:27:13.823172+02'
3552,'5',20.5,'2021-10-26T11:48:55.545609+02'
3553,'5',20.6,'2021-10-26T12:09:57.913474+02'
3554,'5',20.6,'2021-10-26T12:31:13.269929+02'
3555,'5',20.7,'2021-10-26T12:52:56.101731+02'
3556,'5',20.7,'2021-10-26T13:15:16.294578+02'
3557,'5',20.7,'2021-10-26T13:36:24.849038+02'
3558,'5',20.6,'2021-10-26T13:57:39.78397+02'
3559,'5',20.6,'2021-10-26T14:19:06.59961+02'
3560,'5',19.0,'2021-10-27T09:36:37.60086+02'
3561,'5',19.3,'2021-10-27T10:07:22.146028+02'
3562,'5',19.4,'2021-10-27T10:30:57.370536+02'
3563,'5',19.5,'2021-10-27T10:52:19.50937+02'
3564,'5',19.5,'2021-10-27T11:15:21.430104+02'
3565,'5',19.5,'2021-10-27T11:37:20.365292+02'
3566,'5',19.7,'2021-10-27T12:00:14.419549+02'
3567,'5',19.8,'2021-10-27T12:22:17.649853+02'
3568,'5',19.7,'2021-10-27T12:43:33.636585+02'
3569,'5',19.7,'2021-10-27T13:04:40.479118+02'
3570,'5',19.7,'2021-10-27T13:27:23.103754+02'
3571,'5',19.7,'2021-10-27T13:49:21.257517+02'
3572,'5',19.6,'2021-10-27T14:11:28.647677+02'
3573,'5',19.8,'2021-10-27T14:55:50.685142+02'
3574,'5',19.8,'2021-10-27T15:17:26.476574+02'
3575,'5',19.8,'2021-10-27T15:39:33.099328+02'
3576,'5',19.9,'2021-10-27T16:02:34.074135+02'
3577,'5',19.9,'2021-10-27T16:24:21.32129+02'
3578,'5',19.9,'2021-10-27T16:46:45.985605+02'
3579,'5',20.0,'2021-10-27T17:08:40.879701+02'
3580,'5',20.0,'2021-10-27T17:30:09.484146+02'
3581,'5',20.0,'2021-10-27T17:52:37.814371+02'
3582,'5',20.0,'2021-10-27T18:14:03.07329+02'
3583,'5',20.0,'2021-10-27T18:35:44.984068+02'
3584,'5',19.9,'2021-10-27T18:57:58.196349+02'
3585,'5',19.9,'2021-10-27T19:19:13.079461+02'
3586,'5',19.9,'2021-10-27T19:41:41.974892+02'
3587,'5',19.8,'2021-10-27T20:03:12.836461+02'
3588,'5',19.8,'2021-10-27T20:25:38.478114+02'
3589,'5',19.7,'2021-10-27T20:48:02.801952+02'
3590,'5',19.7,'2021-10-27T21:10:26.100263+02'
3591,'5',19.6,'2021-10-27T21:31:15.993189+02'
3592,'5',19.5,'2021-10-27T21:52:24.907365+02'
3593,'5',19.4,'2021-10-27T22:14:40.320595+02'
3594,'5',19.4,'2021-10-27T22:35:26.855053+02'
3595,'5',19.3,'2021-10-27T22:56:52.591838+02'
3596,'5',19.2,'2021-10-27T23:18:32.652672+02'
3597,'5',19.2,'2021-10-27T23:40:57.494869+02'
3598,'5',19.1,'2021-10-28T00:03:35.290727+02'
3599,'5',18.9,'2021-10-28T00:25:03.956775+02'
3600,'5',18.9,'2021-10-28T00:47:21.412066+02'
3601,'5',18.8,'2021-10-28T01:09:48.810447+02'
3602,'5',18.8,'2021-10-28T01:30:20.91789+02'
3603,'5',18.7,'2021-10-28T01:52:09.16159+02'
3604,'5',18.6,'2021-10-28T02:15:03.400697+02'
3605,'5',18.6,'2021-10-28T02:37:45.498111+02'
3606,'5',18.6,'2021-10-28T02:58:54.836087+02'
3607,'5',18.6,'2021-10-28T03:20:29.142495+02'
3608,'5',18.7,'2021-10-28T03:41:55.081701+02'
3609,'5',18.7,'2021-10-28T04:02:31.951015+02'
3610,'5',18.8,'2021-10-28T04:24:13.609015+02'
3611,'5',18.8,'2021-10-28T04:46:09.97321+02'
3612,'5',18.9,'2021-10-28T05:07:41.963253+02'
3613,'5',18.9,'2021-10-28T05:28:34.791761+02'
3614,'5',19.0,'2021-10-28T05:50:08.551915+02'
3615,'5',19.0,'2021-10-28T06:11:50.213561+02'
3616,'5',19.0,'2021-10-28T06:33:17.285039+02'
3617,'5',19.0,'2021-10-28T06:54:46.378979+02'
3618,'5',19.0,'2021-10-28T07:16:09.421637+02'
3619,'5',19.0,'2021-10-28T07:37:42.047843+02'
3620,'5',19.0,'2021-10-28T07:58:29.655286+02'
3621,'5',19.0,'2021-10-28T08:20:29.487001+02'
3622,'5',19.0,'2021-10-28T08:43:13.274138+02'
3623,'5',19.1,'2021-10-28T09:05:08.860485+02'
3624,'5',19.2,'2021-10-28T09:28:13.905001+02'
3625,'5',19.3,'2021-10-28T09:50:04.249163+02'
3626,'5',19.6,'2021-10-28T10:12:55.054348+02'
3627,'5',19.8,'2021-10-28T10:34:00.662068+02'
3628,'5',20.1,'2021-10-28T10:55:15.899973+02'
3629,'5',20.2,'2021-10-28T11:16:15.520571+02'
3630,'5',20.4,'2021-10-28T11:37:17.40187+02'
3631,'5',20.7,'2021-10-28T12:00:00.382521+02'
3632,'5',20.9,'2021-10-28T12:21:52.6129+02'
3633,'5',21.0,'2021-10-28T12:43:00.768318+02'
3634,'5',21.1,'2021-10-28T13:04:36.067388+02'
3635,'5',21.2,'2021-10-28T13:26:02.583593+02'
3636,'5',21.2,'2021-10-28T13:48:33.18923+02'
3637,'5',21.2,'2021-10-28T14:11:05.315783+02'
3638,'5',21.3,'2021-10-28T14:32:54.251702+02'
3639,'5',21.2,'2021-10-28T14:53:58.395618+02'
3640,'5',21.2,'2021-10-28T15:16:13.287451+02'
3641,'5',21.2,'2021-10-28T15:37:30.038953+02'
3642,'5',21.1,'2021-10-28T15:58:26.755304+02'
3643,'5',21.1,'2021-10-28T16:19:12.610858+02'
3644,'5',21.0,'2021-10-28T16:40:11.692916+02'
3645,'5',20.9,'2021-10-28T17:02:00.391799+02'
3646,'5',20.9,'2021-10-28T17:24:01.768778+02'
3647,'5',20.9,'2021-10-28T17:45:47.945566+02'
3648,'5',20.9,'2021-10-28T18:06:26.994367+02'
3649,'5',20.8,'2021-10-28T18:28:19.566152+02'
3650,'5',20.8,'2021-10-28T18:50:22.125826+02'
3651,'5',20.8,'2021-10-28T19:11:37.206613+02'
3652,'5',20.7,'2021-10-28T19:34:00.426768+02'
3653,'5',20.7,'2021-10-28T19:55:41.024793+02'
3654,'5',20.6,'2021-10-28T20:16:24.532994+02'
3655,'5',20.6,'2021-10-28T20:38:26.842873+02'
3656,'5',20.5,'2021-10-28T21:00:00.812002+02'
3657,'5',20.4,'2021-10-28T21:22:37.662087+02'
3658,'5',20.3,'2021-10-28T21:44:36.131222+02'
3659,'5',20.3,'2021-10-28T22:06:02.710308+02'
3660,'5',20.2,'2021-10-28T22:27:23.832514+02'
3661,'5',20.2,'2021-10-28T22:49:10.13092+02'
3662,'5',20.1,'2021-10-28T23:11:07.532337+02'
3663,'5',20.0,'2021-10-28T23:33:08.473884+02'
3664,'5',20.0,'2021-10-28T23:54:58.378246+02'
3665,'5',19.9,'2021-10-29T00:15:29.951513+02'
3666,'5',19.9,'2021-10-29T00:36:16.769495+02'
3667,'5',19.8,'2021-10-29T00:57:31.715665+02'
3668,'5',19.7,'2021-10-29T01:19:51.678955+02'
3669,'5',19.7,'2021-10-29T01:41:09.084741+02'
3670,'5',19.6,'2021-10-29T02:03:06.816185+02'
3671,'5',19.6,'2021-10-29T02:26:04.940144+02'
3672,'5',19.5,'2021-10-29T02:47:41.452805+02'
3673,'5',19.5,'2021-10-29T03:09:10.553997+02'
3674,'5',19.6,'2021-10-29T03:30:32.977137+02'
3675,'5',19.6,'2021-10-29T03:52:12.905179+02'
3676,'5',19.6,'2021-10-29T04:14:17.67012+02'
3677,'5',19.7,'2021-10-29T04:35:38.95259+02'
3678,'5',19.7,'2021-10-29T04:56:33.959926+02'
3679,'5',19.7,'2021-10-29T05:19:05.549669+02'
3680,'5',19.7,'2021-10-29T05:41:54.35268+02'
3681,'5',19.8,'2021-10-29T06:03:54.667314+02'
3682,'5',19.7,'2021-10-29T06:24:18.084559+02'
3683,'5',19.7,'2021-10-29T06:45:44.649837+02'
3684,'5',19.7,'2021-10-29T07:07:26.066002+02'
3685,'5',19.7,'2021-10-29T07:28:17.841922+02'
3686,'5',19.7,'2021-10-29T07:49:54.671968+02'
3687,'5',19.7,'2021-10-29T08:11:13.468264+02'
3688,'5',19.7,'2021-10-29T08:32:25.276373+02'
3689,'5',19.8,'2021-10-29T08:54:40.424833+02'
3690,'5',19.9,'2021-10-29T09:16:27.085063+02'
3691,'5',19.8,'2021-10-29T09:38:17.729072+02'
3692,'5',20.1,'2021-10-29T10:00:42.326188+02'
3693,'5',20.4,'2021-10-29T10:23:00.814613+02'
3694,'5',20.6,'2021-10-29T10:45:12.228081+02'
3695,'5',20.6,'2021-10-29T11:07:48.127958+02'
3696,'5',20.9,'2021-10-29T11:28:49.793359+02'
3697,'5',21.0,'2021-10-29T11:49:57.525389+02'
3698,'5',21.2,'2021-10-29T12:11:53.715496+02'
3699,'5',21.1,'2021-10-29T12:33:16.343968+02'
3700,'5',21.0,'2021-10-29T12:54:54.135981+02'
3701,'5',21.0,'2021-10-29T13:15:18.114574+02'
3702,'5',21.0,'2021-10-29T13:36:18.537731+02'
3703,'5',20.9,'2021-10-29T13:58:12.824883+02'
3704,'5',20.9,'2021-10-29T14:20:44.376183+02'
3705,'5',20.8,'2021-10-29T14:42:46.768523+02'
3706,'5',20.7,'2021-10-29T15:04:11.541001+02'
3707,'5',20.7,'2021-10-29T15:25:27.349255+02'
3708,'5',20.7,'2021-10-29T15:47:00.303924+02'
3709,'5',20.7,'2021-10-29T16:09:07.917749+02'
3710,'5',20.6,'2021-10-29T16:30:48.236525+02'
3711,'5',20.5,'2021-10-29T16:52:18.208529+02'
3712,'5',20.5,'2021-10-29T17:14:13.073506+02'
3713,'5',20.6,'2021-10-29T17:35:28.880364+02'
3714,'5',20.5,'2021-10-29T17:58:11.889819+02'
3715,'5',20.5,'2021-10-29T18:19:39.661626+02'
3716,'5',20.5,'2021-10-29T18:40:21.770431+02'
3717,'5',20.5,'2021-10-29T19:02:35.601996+02'
3718,'5',20.4,'2021-10-29T19:24:24.992291+02'
3719,'5',20.3,'2021-10-29T19:45:43.176739+02'
3720,'5',20.3,'2021-10-29T20:07:56.532209+02'
3721,'5',20.3,'2021-10-29T20:29:50.196875+02'
3722,'5',20.2,'2021-10-29T20:51:39.534468+02'
3723,'5',20.2,'2021-10-29T21:13:21.769919+02'
3724,'5',20.1,'2021-10-29T21:35:57.739389+02'
3725,'5',20.0,'2021-10-29T21:58:02.841592+02'
3726,'5',20.0,'2021-10-29T22:20:45.551698+02'
3727,'5',19.9,'2021-10-29T22:41:50.741882+02'
3728,'5',19.9,'2021-10-29T23:03:33.032759+02'
3729,'5',19.8,'2021-10-29T23:25:39.156147+02'
3730,'5',19.8,'2021-10-29T23:47:23.864797+02'
3731,'5',19.7,'2021-10-30T00:09:03.555024+02'
3732,'5',19.6,'2021-10-30T00:31:44.637961+02'
3733,'5',19.5,'2021-10-30T00:53:02.495701+02'
3734,'5',19.5,'2021-10-30T01:14:52.908076+02'
3735,'5',19.5,'2021-10-30T01:35:29.511942+02'
3736,'5',19.4,'2021-10-30T01:56:52.158156+02'
3737,'5',19.3,'2021-10-30T02:18:40.111624+02'
3738,'5',19.3,'2021-10-30T02:41:04.955175+02'
3739,'5',19.2,'2021-10-30T03:03:39.92336+02'
3740,'5',19.1,'2021-10-30T03:24:49.218037+02'
3741,'5',19.1,'2021-10-30T03:47:03.008538+02'
3742,'5',19.0,'2021-10-30T04:09:31.893189+02'
3743,'5',19.0,'2021-10-30T04:31:05.796346+02'
3744,'5',18.9,'2021-10-30T04:52:28.860559+02'
3745,'5',18.9,'2021-10-30T05:13:56.688284+02'
3746,'5',18.8,'2021-10-30T05:35:12.012456+02'
3747,'5',18.8,'2021-10-30T05:57:29.720166+02'
